a,b,c,d,relation,labels,predictions,binary_results,binary_random_results
Nassau,Bahamas,Havanna,Kuba,capital-common-countries,Kuba,Kuba,1,1
Nassau,Bahamas,Berlin,Tyskland,capital-common-countries,Tyskland,Tyskland,1,1
Nassau,Bahamas,Aten,Grekland,capital-common-countries,Grekland,Grekland,1,1
Nassau,Bahamas,Jakarta,Indonesien,capital-common-countries,Indonesien,Indonesien,1,1
Nassau,Bahamas,Jerusalem,Israel,capital-common-countries,Israel,Israel,1,0
Nassau,Bahamas,Rom,Italien,capital-common-countries,Italien,Italien,1,1
Nassau,Bahamas,Tokyo,Japan,capital-common-countries,Japan,Japan,1,1
Nassau,Bahamas,Nairobi,Kenya,capital-common-countries,Kenya,Kenya,1,1
Nassau,Bahamas,Amsterdam,Nederländerna,capital-common-countries,Nederländerna,Holland,0,0
Nassau,Bahamas,Dodoma,Tanzania,capital-common-countries,Tanzania,Tanzania,1,0
Nassau,Bahamas,Abuja,Nigeria,capital-common-countries,Nigeria,Nigeria,1,0
Nassau,Bahamas,Lima,Peru,capital-common-countries,Peru,Peru,1,1
Nassau,Bahamas,Manila,Filippinerna,capital-common-countries,Filippinerna,Filippinerna,1,1
Nassau,Bahamas,Köpenhamn,Danmark,capital-common-countries,Danmark,Sverige,0,0
Nassau,Bahamas,Oslo,Norge,capital-common-countries,Norge,Norge,1,0
Nassau,Bahamas,Paris,Frankrike,capital-common-countries,Frankrike,Frankrike,1,0
Havanna,Kuba,Nassau,Bahamas,capital-common-countries,Bahamas,Bahamas,1,1
Havanna,Kuba,Berlin,Tyskland,capital-common-countries,Tyskland,Tyskland,1,1
Havanna,Kuba,Aten,Grekland,capital-common-countries,Grekland,Grekland,1,0
Havanna,Kuba,Jakarta,Indonesien,capital-common-countries,Indonesien,Indonesien,1,0
Havanna,Kuba,Jerusalem,Israel,capital-common-countries,Israel,Israel,1,0
Havanna,Kuba,Rom,Italien,capital-common-countries,Italien,Italien,1,0
Havanna,Kuba,Tokyo,Japan,capital-common-countries,Japan,Japan,1,1
Havanna,Kuba,Nairobi,Kenya,capital-common-countries,Kenya,Kenya,1,1
Havanna,Kuba,Amsterdam,Nederländerna,capital-common-countries,Nederländerna,Nederländerna,1,1
Havanna,Kuba,Dodoma,Tanzania,capital-common-countries,Tanzania,Tanzania,1,0
Havanna,Kuba,Islamabad,Pakistan,capital-common-countries,Pakistan,Pakistan,1,0
Havanna,Kuba,Abuja,Nigeria,capital-common-countries,Nigeria,Nigeria,1,1
Havanna,Kuba,Lima,Peru,capital-common-countries,Peru,Peru,1,1
Havanna,Kuba,Manila,Filippinerna,capital-common-countries,Filippinerna,Filippinerna,1,1
Havanna,Kuba,Köpenhamn,Danmark,capital-common-countries,Danmark,Sverige,0,0
Havanna,Kuba,Oslo,Norge,capital-common-countries,Norge,Norge,1,1
Havanna,Kuba,Paris,Frankrike,capital-common-countries,Frankrike,Frankrike,1,1
Berlin,Tyskland,Nassau,Bahamas,capital-common-countries,Bahamas,Bahamas,1,1
Berlin,Tyskland,Havanna,Kuba,capital-common-countries,Kuba,Kuba,1,0
Berlin,Tyskland,Aten,Grekland,capital-common-countries,Grekland,Grekland,1,0
Berlin,Tyskland,Jakarta,Indonesien,capital-common-countries,Indonesien,Indonesien,1,0
Berlin,Tyskland,Jerusalem,Israel,capital-common-countries,Israel,Israel,1,1
Berlin,Tyskland,Rom,Italien,capital-common-countries,Italien,Italien,1,0
Berlin,Tyskland,Tokyo,Japan,capital-common-countries,Japan,Japan,1,0
Berlin,Tyskland,Nairobi,Kenya,capital-common-countries,Kenya,Kenya,1,1
Berlin,Tyskland,Amsterdam,Nederländerna,capital-common-countries,Nederländerna,Holland,0,1
Berlin,Tyskland,Dodoma,Tanzania,capital-common-countries,Tanzania,Tanzania,1,0
Berlin,Tyskland,Bangkok,Thailand,capital-common-countries,Thailand,Thailand,1,0
Berlin,Tyskland,Islamabad,Pakistan,capital-common-countries,Pakistan,Pakistan,1,0
Berlin,Tyskland,Abuja,Nigeria,capital-common-countries,Nigeria,Nigeria,1,0
Berlin,Tyskland,Lima,Peru,capital-common-countries,Peru,Peru,1,0
